country,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,basic_water,pop_mils,development_index,gdp_per_capita,eco_footprint,biocapacity,deficit_or_reserve,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,happiness_score
Trinidad and Tobago,71.81485,19.57673,171.8307,0.0169549999999999,0.00052,5.907769999999999,27.6,98.18496,1.34,0.77,18310.8,7.92,1.56,-6.36,4.731368885,5.944444444,10.0,8.616111111,8.729166667,6.666666667,6.920446388,5.595294029,4.542519459,9.051274803,7.841115334,6.61549302,6.73,6.825223194,6.168
Uruguay,77.06158,22.29529,113.9388,0.01175,0.000565,5.52664,27.4,99.32289,3.4,0.79,14238.1,2.91,10.32,7.41,6.641640406,8.408217822,10.0,8.47962963,9.357142857,10.0,8.296141806,6.839554695,5.362794124,8.971845842,7.793198184,6.815292504,7.16,7.728070903,6.545
Mexico,76.56378000000001,22.30824,126.6144,0.01249,0.0005099999999999,4.25065,28.0,98.88368,120.85,0.75,10123.9,2.89,1.27,-1.62,3.922635286,6.041886151,10.0,7.568888889,6.980011483,10.0,6.796020397,7.915761741,4.127169241,8.106594619,7.259592913,7.109701358,6.9,6.848010198,6.778
Nicaragua,75.48499,22.78766,145.8617,0.017305,0.000745,3.81148,27.2,81.50474,5.99,0.63,1626.85,1.39,2.25,0.87,3.767066422,8.295494493,8.333333333,7.912592593,7.047619048,6.875,6.432494726,7.990441176,4.450667177,9.100671988,7.81743925,7.002229453,7.27,6.851247363,5.992
Panama,78.02985,23.99669,110.9972,0.0141,0.00058,6.7007,26.9,95.97945,3.8,0.77,8410.77,2.79,2.94,0.15,4.385538748,8.710721255,10.0,8.361111111,8.300639622,9.25,7.715240074,7.363229284,5.241776593,9.696805181,8.696830031,6.902737679,7.58,7.647620037,6.701
Peru,75.86007,21.63352,124.0595,0.011885,0.000865,5.31141,26.7,90.58557,29.99,0.73,5684.73,2.28,3.97,1.69,4.715843781,8.245018486,10.0,8.225555556,8.205155728,9.375,7.720786695,6.97963564,4.765645671,9.704537846,8.226085566,7.488683492,7.43,7.575393347,5.743
Guatemala,73.22707,21.32992,161.6523,0.02369,0.00118,1.5933700000000002,26.6,93.72089,15.08,0.62,3233.8,1.89,0.99,-0.9,3.98767717,6.333333333,10.0,8.47,7.459933562,6.25,6.548245982,9.52848501,4.382490053,9.557483712,8.19393792,6.55007591,7.64,7.094122991,6.324
Honduras,75.17304,22.39087,145.0679,0.01652,0.0007,2.5430900000000003,26.8,94.28603,7.94,0.61,2269.51,1.68,1.77,0.09,3.194722841,5.939567336,8.333333333,8.731481481,7.964285714,7.5,6.386482597,8.532352941,3.435269824,9.2936517,7.217558726,6.824516794,7.06,6.723241298,4.871
Haiti,63.5098,17.68188,243.4574,0.053515,0.0043549999999999,2.72063,25.3,65.02301999999999,10.17,0.48,749.13,0.61,0.27,-0.34,3.582253733,7.75815154,10.0,8.392222222,8.226190476,6.875,7.184442588,8.430694021,2.500470609,7.216129446,7.504084903,6.886282485,6.51,6.847221294,4.028
Jamaica,76.00214,22.49724,131.3541,0.0152699999999999,0.000625,3.38245,27.8,90.61792,2.77,0.72,5226.3,1.89,0.43,-1.46,5.403823101,6.5,8.333333333,9.305555556,9.535714286,6.25,7.268416093,7.430473655,5.07420081,8.592263953,6.859851664,7.958677586,7.18,7.224208046,5.51
