country,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,basic_water,pop_mils,development_index,gdp_per_capita,eco_footprint,biocapacity,deficit_or_reserve,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,happiness_score
Australia,82.90018,25.61238,60.725280000000005,0.003385,0.000165,9.79,27.1,99.96997,23.05,0.93,66604.2,9.31,16.57,7.26,7.77627878,9.873961805,10.0,9.075925926,9.392857143,9.25,9.184438453,6.544178144,7.919018594,9.452540278,7.526720988,8.465525923,7.98,8.582219227,7.313
China,76.38920999999999,19.85725,80.35584,0.0084149999999999,0.00035,5.63286,23.8,92.30405,1408.04,0.72,5560.94,3.38,0.94,-2.44,4.704818051,7.528647392,3.333333333,3.666296296,5.174910149,9.25,5.350820339,5.039010659,5.650259343,8.542426794,6.708857694,6.358063353,6.46,5.905410169,5.245
Vietnam,76.33917,22.68693,124.7509,0.017595,0.00108,3.12507,21.9,93.99012,90.8,0.66,1532.31,1.65,1.0,-0.65,4.91207109,8.630880895,3.333333333,5.895925926,5.843436781,9.25,5.9680076,7.607352941,5.060821486,6.46894336,6.27620744,6.701358455,6.42,6.1940038,5.061
Philippines,69.3147,17.58233,193.8597,0.021765,0.00144,4.52845,23.2,93.07372,96.71,0.66,2379.44,1.1,0.54,-0.56,3.436584998,6.842192772,8.333333333,8.490740741,8.204248444,6.25,6.497526694,8.498841962,4.27826495,9.422637738,7.127270701,7.369833084,7.34,6.918763347,5.279
Singapore,82.94685,25.03369,51.36488,0.002085,0.00014,1.83685,23.6,100.0,5.3,0.91,53122.4,7.97,0.05,-7.92,7.683405599,9.401703386,8.333333333,6.114814815,6.133315738,8.0,7.479423635,7.919425783,8.22709857,9.761728956,9.291176661,8.980598133,8.84,8.159711817,6.739
Mongolia,69.80354,17.27222,210.7092,0.0148449999999999,0.000615,6.89982,26.2,82.80058000000001,2.8,0.71,3736.07,6.08,15.66,9.58,5.251542395,8.912543798,10.0,8.584814815,8.238095238,9.25,7.998312553,7.999648709,5.554938942,9.38778724,6.780282764,7.2582965,7.4,7.699156277,4.907
Malaysia,75.27525,19.93296,122.8846,0.00691,0.000295,0.58616,25.7,96.72462,29.24,0.77,10252.6,3.71,2.41,-1.3,5.42152405,8.599348146,5.0,3.93,6.797619048,4.25,5.902979954,6.86283807,5.760370476,5.792303901,7.537110669,8.622790943,6.92,6.411489977,6.005
New Zealand,82.24739,25.29202,66.05728,0.003975,0.000235,9.01749,28.0,100.0,4.46,0.91,37488.3,5.6,10.14,4.54,7.868546129,9.868614098,10.0,9.731481481,9.523809524,9.25,9.284819157,6.476854205,8.715280315,9.455371519,8.635970884,9.159782185,8.49,8.887409579,7.334
Japan,84.16615999999999,26.39402,50.82619,0.00198,0.000195,6.81588,22.7,98.97,127.25,0.89,46201.6,5.02,0.72,-4.3,7.643490079,9.678364609,10.0,8.092592593,9.19047619,9.25,8.73377055,4.535267724,7.586986576,9.524658793,7.495838941,8.19699977,7.47,8.101885275,5.921
Cambodia,69.36723,17.3671,170.497,0.0276,0.0011099999999999,3.50125,22.2,76.94537,14.86,0.55,877.64,1.21,1.09,-0.11,2.566741147,9.587538771,10.0,8.272592593,7.892857143,8.333333333,7.238448286,7.897866967,4.277906502,9.308534101,7.324052439,7.061529101,7.17,7.204224143,3.907
South Korea,82.66409,25.26966,60.81405,0.002955,0.000125,8.686,23.8,99.6754,49.0,0.89,24155.8,5.69,0.68,-5.01,7.438182909,9.462073664,8.333333333,9.353333333,8.976190476,9.25,8.766349858,6.826429472,6.391153586,9.609132499,7.569456911,7.243194392,7.53,8.148174929,5.835
Laos,65.79089,16.83024,192.7939,0.051895,0.00399,7.11148,22.9,79.9419,6.65,0.56,1236.24,1.22,1.62,0.4,3.953482175,8.303656159,5.0,6.731111111,5.761904762,10.0,5.863586171,7.840112728,5.93720088,7.335898763,6.830397459,6.590032884,6.91,6.386793085,4.876
